model	errant	k	prompt
mimir-mistral-7b-base-scratch	0.74	0	1
mimir-mistral-7b-base-scratch	2.02	0	3
mimir-mistral-7b-base-scratch	3.25	0	2
mimir-mistral-7b-base-scratch	0.65	0	0
mimir-mistral-7b-base-scratch	4.75	0	4
mimir-mistral-7b-base-scratch	20.29	1	1
mimir-mistral-7b-base-scratch	16.2	1	3
mimir-mistral-7b-base-scratch	26.18	1	2
mimir-mistral-7b-base-scratch	14.34	1	0
mimir-mistral-7b-base-scratch	25.91	1	4
mimir-mistral-7b-base-scratch	31.230000000000004	4	0
mimir-mistral-7b-base-scratch	34.25	4	4
mimir-mistral-7b-base-scratch	31.730000000000004	4	1
mimir-mistral-7b-base-scratch	32.14	4	3
mimir-mistral-7b-base-scratch	33.57	4	2
mimir-mistral-7b-base-scratch	35.46	16	3
mimir-mistral-7b-base-scratch	35.92	16	2
mimir-mistral-7b-base-scratch	35.99	16	0
mimir-mistral-7b-base-scratch	37.5	16	4
mimir-mistral-7b-base-scratch	35.02	16	1
mimir-mistral-7b-extended	3.1	0	1
mimir-mistral-7b-extended	25.06	0	3
mimir-mistral-7b-extended	11.59	0	4
mimir-mistral-7b-extended	28.18	0	2
mimir-mistral-7b-extended	1.18	0	0
mimir-mistral-7b-extended	39.08	1	1
mimir-mistral-7b-extended	43.37	1	3
mimir-mistral-7b-extended	43.9	1	4
mimir-mistral-7b-extended	44.35	1	2
mimir-mistral-7b-extended	34.82	1	0
mimir-mistral-7b-extended	46.07	4	1
mimir-mistral-7b-extended	48.3	4	3
mimir-mistral-7b-extended	47.36	4	4
mimir-mistral-7b-extended	47.3	4	2
mimir-mistral-7b-extended	45.440000000000005	4	0
mimir-mistral-7b-extended	50.580000000000005	16	3
mimir-mistral-7b-extended	50.39	16	4
mimir-mistral-7b-extended	50.38	16	2
mimir-mistral-7b-extended	49.47	16	0
mimir-mistral-7b-extended	49.44	16	1
mimir-7b-fiction	6.710000000000001	0	3
mimir-7b-fiction	3.03	0	1
mimir-7b-fiction	3.74	0	4
mimir-7b-fiction	1.79	0	0
mimir-7b-fiction	8.61	0	2
mimir-7b-fiction	17.43	1	3
mimir-7b-fiction	21.17	1	1
mimir-7b-fiction	20.61	1	4
mimir-7b-fiction	11.71	1	0
mimir-7b-fiction	21.47	1	2
mimir-7b-fiction	28.72	4	3
mimir-7b-fiction	28.47	4	1
mimir-7b-fiction	31.94	4	4
mimir-7b-fiction	27.47	4	0
mimir-7b-fiction	30.37	4	2
mimir-7b-fiction	34.32	16	4
mimir-7b-fiction	31.69	16	0
mimir-7b-fiction	33.02	16	2
mimir-7b-fiction	33.77	16	3
mimir-7b-fiction	31.26	16	1
mimir-7b-nonfiction	7.55	0	4
mimir-7b-nonfiction	5.0	0	1
mimir-7b-nonfiction	7.81	0	3
mimir-7b-nonfiction	13.26	0	2
mimir-7b-nonfiction	2.02	0	0
mimir-7b-nonfiction	28.44	1	2
mimir-7b-nonfiction	24.24	1	0
mimir-7b-nonfiction	28.13	1	4
mimir-7b-nonfiction	30.53	1	1
mimir-7b-nonfiction	25.46	1	3
mimir-7b-nonfiction	35.21	4	2
mimir-7b-nonfiction	34.07	4	0
mimir-7b-nonfiction	34.239999999999995	4	4
mimir-7b-nonfiction	35.620000000000005	4	1
mimir-7b-nonfiction	34.79	4	3
mimir-7b-nonfiction	35.43	16	2
mimir-7b-nonfiction	36.370000000000005	16	0
mimir-7b-nonfiction	35.63	16	4
mimir-7b-nonfiction	36.59	16	1
mimir-7b-nonfiction	36.49	16	3
mimir-7b-factual	7.13	0	2
mimir-7b-factual	1.47	0	0
mimir-7b-factual	5.79	0	4
mimir-7b-factual	4.16	0	1
mimir-7b-factual	7.91	0	3
mimir-7b-factual	27.27	1	4
mimir-7b-factual	30.08	1	1
mimir-7b-factual	23.92	1	3
mimir-7b-factual	27.67	1	2
mimir-7b-factual	23.28	1	0
mimir-7b-factual	33.910000000000004	4	0
mimir-7b-factual	34.03	4	4
mimir-7b-factual	35.2	4	1
mimir-7b-factual	34.09	4	3
mimir-7b-factual	34.04	4	2
mimir-7b-factual	35.7	16	2
mimir-7b-factual	36.28	16	0
mimir-7b-factual	36.56	16	4
mimir-7b-factual	36.13	16	1
mimir-7b-factual	36.51	16	3
mimir-7b-newspapers	5.319999999999999	0	3
mimir-7b-newspapers	0.94	0	0
mimir-7b-newspapers	4.8500000000000005	0	2
mimir-7b-newspapers	4.68	0	4
mimir-7b-newspapers	13.38	1	0
mimir-7b-newspapers	25.34	1	2
mimir-7b-newspapers	24.74	1	4
mimir-7b-newspapers	16.84	1	3
mimir-7b-newspapers	23.55	1	1
mimir-7b-newspapers	29.45	4	0
mimir-7b-newspapers	31.45	4	2
mimir-7b-newspapers	32.65	4	4
mimir-7b-newspapers	30.48	4	3
mimir-7b-newspapers	30.880000000000003	4	1
mimir-7b-newspapers	33.36	16	0
mimir-7b-newspapers	31.94	16	2
mimir-7b-newspapers	34.02	16	4
mimir-7b-newspapers	33.46	16	3
mimir-7b-newspapers	32.690000000000005	16	1
mimir-7b-books	2.18	0	0
mimir-7b-books	8.07	0	3
mimir-7b-books	10.68	0	2
mimir-7b-books	8.110000000000001	0	4
mimir-7b-books	5.24	0	1
mimir-7b-books	30.39	1	1
mimir-7b-books	25.91	1	3
mimir-7b-books	29.59	1	2
mimir-7b-books	25.07	1	0
mimir-7b-books	28.51	1	4
mimir-7b-books	35.52	4	1
mimir-7b-books	34.34	4	3
mimir-7b-books	35.44	4	2
mimir-7b-books	34.910000000000004	4	0
mimir-7b-books	34.98	4	4
mimir-7b-books	36.19	16	1
mimir-7b-books	36.22	16	3
mimir-7b-books	36.61	16	2
mimir-7b-books	36.59	16	0
mimir-7b-books	37.830000000000005	16	4
mimir-7b-rightholders	4.1000000000000005	0	1
mimir-7b-rightholders	5.949999999999999	0	3
mimir-7b-rightholders	7.84	0	2
mimir-7b-rightholders	1.7000000000000002	0	0
mimir-7b-rightholders	7.22	0	4
mimir-7b-rightholders	28.38	1	2
mimir-7b-rightholders	21.53	1	0
mimir-7b-rightholders	27.43	1	4
mimir-7b-rightholders	29.76	1	1
mimir-7b-rightholders	23.73	1	3
mimir-7b-rightholders	35.19	4	1
mimir-7b-rightholders	34.22	4	3
mimir-7b-rightholders	34.410000000000004	4	2
mimir-7b-rightholders	33.92	4	0
mimir-7b-rightholders	34.95	4	4
mimir-7b-rightholders	36.63	16	3
mimir-7b-rightholders	35.14	16	2
mimir-7b-rightholders	36.55	16	0
mimir-7b-rightholders	36.870000000000005	16	4
mimir-7b-rightholders	36.15	16	1
mimir-7b-untranslated-withnewspapers	3.61	0	1
mimir-7b-untranslated-withnewspapers	7.93	0	3
mimir-7b-untranslated-withnewspapers	5.8500000000000005	0	4
mimir-7b-untranslated-withnewspapers	6.69	0	2
mimir-7b-untranslated-withnewspapers	1.49	0	0
mimir-7b-untranslated-withnewspapers	24.46	1	3
mimir-7b-untranslated-withnewspapers	25.73	1	4
mimir-7b-untranslated-withnewspapers	27.88	1	2
mimir-7b-untranslated-withnewspapers	23.24	1	0
mimir-7b-untranslated-withnewspapers	29.7	1	1
mimir-7b-untranslated-withnewspapers	35.24	4	1
mimir-7b-untranslated-withnewspapers	33.900000000000006	4	3
mimir-7b-untranslated-withnewspapers	34.54	4	4
mimir-7b-untranslated-withnewspapers	34.52	4	2
mimir-7b-untranslated-withnewspapers	33.910000000000004	4	0
mimir-7b-untranslated-withnewspapers	36.74	16	0
mimir-7b-untranslated-withnewspapers	36.26	16	1
mimir-7b-untranslated-withnewspapers	36.21	16	3
mimir-7b-untranslated-withnewspapers	36.53	16	4
mimir-7b-untranslated-withnewspapers	35.89	16	2
mimir-7b-untranslated	9.94	0	2
mimir-7b-untranslated	2.17	0	0
mimir-7b-untranslated	7.33	0	4
mimir-7b-untranslated	5.050000000000001	0	1
mimir-7b-untranslated	7.33	0	3
mimir-7b-untranslated	24.56	1	0
mimir-7b-untranslated	28.2	1	4
mimir-7b-untranslated	30.14	1	1
mimir-7b-untranslated	24.17	1	3
mimir-7b-untranslated	29.25	1	2
mimir-7b-untranslated	35.05	4	4
mimir-7b-untranslated	35.3	4	1
mimir-7b-untranslated	34.06	4	3
mimir-7b-untranslated	35.29	4	2
mimir-7b-untranslated	34.34	4	0
mimir-7b-untranslated	35.99	16	2
mimir-7b-untranslated	36.57	16	0
mimir-7b-untranslated	36.35	16	4
mimir-7b-untranslated	35.74	16	1
mimir-7b-untranslated	35.76	16	3
mimir-7b-translated	1.98	0	0
mimir-7b-translated	12.46	0	2
mimir-7b-translated	6.44	0	4
mimir-7b-translated	4.55	0	3
mimir-7b-translated	3.93	0	1
mimir-7b-translated	25.36	1	2
mimir-7b-translated	23.15	1	4
mimir-7b-translated	17.89	1	3
mimir-7b-translated	25.72	1	1
mimir-7b-translated	17.54	1	0
mimir-7b-translated	30.96	4	4
mimir-7b-translated	31.9	4	3
mimir-7b-translated	31.61	4	1
mimir-7b-translated	29.29	4	0
mimir-7b-translated	31.82	4	2
mimir-7b-translated	33.27	16	0
mimir-7b-translated	34.12	16	2
mimir-7b-translated	35.35	16	4
mimir-7b-translated	33.7	16	3
mimir-7b-translated	32.78	16	1
mimir-mistral-7b-base	1.46	0	1
mimir-mistral-7b-base	22.22	0	3
mimir-mistral-7b-base	9.26	0	4
mimir-mistral-7b-base	20.92	0	2
mimir-mistral-7b-base	1.23	0	0
mimir-mistral-7b-base	36.36	1	1
mimir-mistral-7b-base	43.19	1	3
mimir-mistral-7b-base	44.5	1	4
mimir-mistral-7b-base	44.12	1	2
mimir-mistral-7b-base	33.58	1	0
mimir-mistral-7b-base	44.98	4	1
mimir-mistral-7b-base	47.74	4	3
mimir-mistral-7b-base	47.56	4	4
mimir-mistral-7b-base	46.78	4	2
mimir-mistral-7b-base	45.51	4	0
mimir-mistral-7b-base	49.3	16	1
mimir-mistral-7b-base	50.080000000000005	16	3
mimir-mistral-7b-base	49.09	16	4
mimir-mistral-7b-base	47.92	16	2
mimir-mistral-7b-base	48.47	16	0
mimir-mistral-7b-extended-scratch	1.46	0	0
mimir-mistral-7b-extended-scratch	7.939999999999999	0	4
mimir-mistral-7b-extended-scratch	2.43	0	1
mimir-mistral-7b-extended-scratch	2.04	0	3
mimir-mistral-7b-extended-scratch	5.140000000000001	0	2
mimir-mistral-7b-extended-scratch	27.23	1	2
mimir-mistral-7b-extended-scratch	19.33	1	0
mimir-mistral-7b-extended-scratch	30.29	1	4
mimir-mistral-7b-extended-scratch	23.19	1	1
mimir-mistral-7b-extended-scratch	21.95	1	3
mimir-mistral-7b-extended-scratch	35.29	4	2
mimir-mistral-7b-extended-scratch	30.75	4	0
mimir-mistral-7b-extended-scratch	37.07	4	4
mimir-mistral-7b-extended-scratch	32.1	4	1
mimir-mistral-7b-extended-scratch	34.73	4	3
mimir-mistral-7b-extended-scratch	39.24	16	3
mimir-mistral-7b-extended-scratch	39.3	16	2
mimir-mistral-7b-extended-scratch	37.38	16	0
mimir-mistral-7b-extended-scratch	41.65	16	4
mimir-mistral-7b-extended-scratch	37.08	16	1
mimir-mistral-7b-core-scratch	0.6	0	0
mimir-mistral-7b-core-scratch	0.63	0	1
mimir-mistral-7b-core-scratch	0.91	0	2
mimir-mistral-7b-core-scratch	2.39	0	3
mimir-mistral-7b-core-scratch	1.6500000000000001	0	4
mimir-mistral-7b-core-scratch	11.0	1	0
mimir-mistral-7b-core-scratch	15.58	1	1
mimir-mistral-7b-core-scratch	19.99	1	2
mimir-mistral-7b-core-scratch	14.17	1	3
mimir-mistral-7b-core-scratch	20.25	1	4
mimir-mistral-7b-core-scratch	27.250000000000004	4	0
mimir-mistral-7b-core-scratch	29.409999999999997	4	1
mimir-mistral-7b-core-scratch	31.66	4	2
mimir-mistral-7b-core-scratch	31.03	4	3
mimir-mistral-7b-core-scratch	33.44	4	4
mimir-mistral-7b-core-scratch	32.47	16	0
mimir-mistral-7b-core-scratch	32.97	16	1
mimir-mistral-7b-core-scratch	34.589999999999996	16	2
mimir-mistral-7b-core-scratch	33.800000000000004	16	3
mimir-mistral-7b-core-scratch	37.580000000000005	16	4
