model	bertscore_f1	k	prompt	task
mimir-mistral-7b-extended-instruct	92.145	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.357	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.392	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.337	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.064	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.824	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.876	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.72	1	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.588	1	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.499	1	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.387	1	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.514	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	90.813	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	90.787	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.097	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.052	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.398	1	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.387	1	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.405	1	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.337	1	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	89.371	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	90.058	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	85.028	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	84.518	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	89.371	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	90.058	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	84.518	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	85.028	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.35	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	82.764	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.35	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	87.214	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	87.214	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	82.764	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	86.201	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	86.201	0	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	84.235	0	prompt-0	tatoeba_eng_nno_nn
Mistral-7B-v0.1	71.886	0	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	83.257	0	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	50.189	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	89.743	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	88.849	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	88.971	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	86.496	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	73.803	0	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	83.065	0	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	85.758	0	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	89.607	0	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.383	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.462	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.459	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.411	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.181	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.099	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.099	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.07	16	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.546	16	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.473	16	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.579	16	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.655	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.366	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.456	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.573	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.508	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.665	16	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.504	16	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.643	16	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.689	16	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.32	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.19	4	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.352	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	92.331	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.92	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.967	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	92.04	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch-instruct	91.921	4	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.948	4	prompt-1	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.956	4	prompt-3	tatoeba_eng_nno_nn
Mistral-7B-v0.1	86.045	4	prompt-2	tatoeba_eng_nno_nn
Mistral-7B-v0.1	85.997	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.083	4	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.121	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.139	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch-instruct	91.09	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.323	4	prompt-2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.296	4	prompt-3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.303	4	prompt-1	tatoeba_eng_nno_nn
mimir-mistral-7b-base-instruct	92.177	4	prompt-0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-instruct	94.354	1	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.233	1	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.386	1	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.314	1	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.506	1	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.613	1	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.51	1	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.415	1	prompt-3	tatoeba_eng_nob_nb
Mistral-7B-v0.1	90.314	1	prompt-1	tatoeba_eng_nob_nb
Mistral-7B-v0.1	90.262	1	prompt-3	tatoeba_eng_nob_nb
Mistral-7B-v0.1	90.35	1	prompt-2	tatoeba_eng_nob_nb
Mistral-7B-v0.1	90.235	1	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	92.609	1	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	92.772	1	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	91.75	1	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	92.773	1	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.222	1	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.103	1	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.171	1	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.268	1	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	88.535	0	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	88.152	0	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	88.177	0	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	88.794	0	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	90.555	0	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	82.092	0	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	85.697	0	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	81.092	0	prompt-3	tatoeba_eng_nob_nb
Mistral-7B-v0.1	88.537	0	prompt-0	tatoeba_eng_nob_nb
Mistral-7B-v0.1	87.232	0	prompt-2	tatoeba_eng_nob_nb
Mistral-7B-v0.1	86.474	0	prompt-1	tatoeba_eng_nob_nb
Mistral-7B-v0.1	83.882	0	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	89.691	0	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	82.443	0	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	90.973	0	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	90.317	0	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	79.701	0	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	79.011	0	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	83.458	0	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	84.859	0	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.449	16	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.419	16	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.446	16	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.479	16	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	94.034	16	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.997	16	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.98	16	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	94.015	16	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.437	16	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.522	16	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.524	16	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.542	16	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.351	16	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.331	16	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.375	16	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.389	16	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.395	4	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.387	4	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.41	4	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.392	4	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.906	4	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.913	4	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.873	4	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch-instruct	93.892	4	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.278	4	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.464	4	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.471	4	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch-instruct	93.482	4	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.337	4	prompt-2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.321	4	prompt-3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.339	4	prompt-1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-instruct	94.327	4	prompt-0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-instruct	94.276	1	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.2	1	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.328	1	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.449	1	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.623	1	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.576	1	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.587	1	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.466	1	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	92.549	1	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.233	1	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.11	1	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.203	1	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.305	1	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.233	1	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.243	1	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.364	1	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	76.124	0	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	83.883	0	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	83.695	0	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	86.466	0	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	88.936	0	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	86.219	0	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	92.105	0	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	83.689	0	prompt-3	tatoeba_nno_eng_nn
Mistral-7B-v0.1	88.593	0	prompt-0	tatoeba_nno_eng_nn
Mistral-7B-v0.1	84.886	0	prompt-2	tatoeba_nno_eng_nn
Mistral-7B-v0.1	89.245	0	prompt-1	tatoeba_nno_eng_nn
Mistral-7B-v0.1	65.867	0	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	90.957	0	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	91.683	0	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	91.262	0	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	86.962	0	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	62.728	0	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	72.188	0	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	93.005	0	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	69.408	0	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.419	16	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.527	16	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.517	16	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.539	16	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	94.128	16	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.949	16	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	94.143	16	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.943	16	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.614	16	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.49	16	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.754	16	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.579	16	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.555	16	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.557	16	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.622	16	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.611	16	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.447	4	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.427	4	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.387	4	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	94.378	4	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.699	4	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.718	4	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.67	4	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch-instruct	93.519	4	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.319	4	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.298	4	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.205	4	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch-instruct	93.32	4	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.415	4	prompt-2	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.427	4	prompt-3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.341	4	prompt-1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-instruct	94.431	4	prompt-0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-instruct	99.03	1	prompt-2	tatoeba_nno_nob_nn
mimir-mistral-7b-extended-instruct	98.786	1	prompt-3	tatoeba_nno_nob_nn
