model	bertscore_f1	k	prompt	task
mimir-mistral-7b-core-scratch	87.986	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	80.009	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	83.787	0	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	71.384	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	87.732	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	78.533	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	80.045	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	61.526	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	87.376	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	73.494	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	69.412	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	75.825	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	77.839	0	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	69.02	0	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	69.14	0	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	59.789	0	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.075	0	prompt_0	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	76.108	0	prompt_1	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	81.963	0	prompt_2	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	72.253	0	prompt_3	tatoeba_nob_nno_nb
mimir-mistral-7b-core-scratch	96.312	0	prompt_0	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	94.7	0	prompt_1	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	87.523	0	prompt_2	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	86.767	0	prompt_3	tatoeba_nno_nob_nn
mimir-mistral-7b-core-scratch	90.522	1	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.52	1	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.636	1	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	88.914	1	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.038	1	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.198	1	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.124	1	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	92.369	1	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	92.718	1	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.082	1	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	92.801	1	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	91.947	1	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.718	1	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.579	1	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.588	1	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.1	1	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.087	4	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	90.942	4	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.189	4	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.034	4	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.409	4	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.605	4	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.519	4	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.162	4	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.338	4	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.444	4	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.38	4	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.276	4	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.885	4	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.947	4	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.908	4	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.881	4	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	91.052	16	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.041	16	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.169	16	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	91.014	16	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-core-scratch	93.573	16	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.632	16	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.693	16	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.385	16	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-core-scratch	93.476	16	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.563	16	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.533	16	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.386	16	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-core-scratch	93.943	16	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	94.004	16	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	94.02	16	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-core-scratch	93.979	16	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-base-scratch	86.471	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch	79.985	0	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch	74.57	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch	82.687	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended	81.102	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended	85.306	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended	85.364	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended	85.594	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-fiction	80.559	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-fiction	79.287	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-fiction	78.761	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-fiction	73.977	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-nonfiction	67.577	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-nonfiction	78.812	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-nonfiction	80.76	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-nonfiction	80.017	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-factual	81.291	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-factual	75.198	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-factual	65.226	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-factual	79.331	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-newspapers	87.386	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-newspapers	84.899	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-newspapers	74.581	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-newspapers	88.345	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-books	68.764	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-books	80.347	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-books	77.637	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-books	74.805	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-rightholders	67.337	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-rightholders	72.286	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-rightholders	75.982	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-rightholders	81.045	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-untranslated-withnewspapers	81.443	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-untranslated-withnewspapers	67.532	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-untranslated-withnewspapers	76.344	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-untranslated-withnewspapers	78.209	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-untranslated	68.149	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-untranslated	78.378	0	prompt_1	tatoeba_eng_nno_nn
mimir-7b-untranslated	80.766	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-untranslated	78.063	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-translated	80.189	0	prompt_0	tatoeba_eng_nno_nn
mimir-7b-translated	74.282	0	prompt_2	tatoeba_eng_nno_nn
mimir-7b-translated	65.426	0	prompt_3	tatoeba_eng_nno_nn
mimir-7b-translated	75.758	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-base	71.183	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-base	68.911	0	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-base	85.652	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-base	76.799	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch	88.089	0	prompt_0	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch	83.346	0	prompt_1	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch	81.918	0	prompt_2	tatoeba_eng_nno_nn
mimir-mistral-7b-extended-scratch	77.915	0	prompt_3	tatoeba_eng_nno_nn
mimir-mistral-7b-base-scratch	87.501	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch	87.05	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch	72.811	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch	77.366	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended	81.33	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-extended	71.093	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended	80.331	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended	81.977	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-fiction	67.658	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-fiction	77.146	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-fiction	78.793	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-fiction	78.984	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-nonfiction	67.42	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-nonfiction	74.229	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-nonfiction	77.654	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-nonfiction	79.824	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-factual	75.908	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-factual	63.444	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-factual	72.028	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-factual	82.561	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-newspapers	82.397	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-newspapers	86.961	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-newspapers	91.88	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-newspapers	68.858	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-books	73.8	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-books	79.568	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-books	67.667	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-books	77.335	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-rightholders	71.316	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-rightholders	74.031	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-rightholders	81.376	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-rightholders	65.375	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-untranslated-withnewspapers	71.146	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-untranslated-withnewspapers	65.681	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-untranslated-withnewspapers	75.128	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-untranslated-withnewspapers	83.656	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-untranslated	79.76	0	prompt_0	tatoeba_nno_eng_nn
mimir-7b-untranslated	69.733	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-untranslated	72.97	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-untranslated	77.685	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-translated	77.339	0	prompt_1	tatoeba_nno_eng_nn
mimir-7b-translated	64.799	0	prompt_2	tatoeba_nno_eng_nn
mimir-7b-translated	68.556	0	prompt_3	tatoeba_nno_eng_nn
mimir-7b-translated	80.484	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-base	68.122	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-base	62.45	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-base	59.892	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-base	90.133	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch	72.671	0	prompt_3	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch	80.374	0	prompt_2	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch	80.1	0	prompt_0	tatoeba_nno_eng_nn
mimir-mistral-7b-extended-scratch	83.67	0	prompt_1	tatoeba_nno_eng_nn
mimir-mistral-7b-base-scratch	79.107	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch	87.497	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch	84.933	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch	71.019	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended	88.186	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended	84.251	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-extended	85.945	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended	86.082	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-fiction	83.829	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-fiction	82.535	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-fiction	82.227	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-fiction	81.793	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-nonfiction	80.998	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-nonfiction	85.798	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-nonfiction	77.201	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-nonfiction	83.277	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-factual	85.166	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-factual	82.475	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-factual	78.101	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-factual	84.277	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-newspapers	83.383	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-newspapers	81.051	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-newspapers	91.044	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-newspapers	72.533	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-books	80.492	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-books	84.6	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-books	77.92	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-books	82.45	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-rightholders	85.07	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-rightholders	82.1	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-rightholders	78.175	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-rightholders	81.103	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-untranslated-withnewspapers	81.82	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-untranslated-withnewspapers	84.255	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-untranslated-withnewspapers	80.502	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-untranslated-withnewspapers	77.18	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-untranslated	81.056	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-untranslated	77.422	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-untranslated	79.141	0	prompt_2	tatoeba_eng_nob_nb
mimir-7b-untranslated	85.191	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-translated	83.378	0	prompt_1	tatoeba_eng_nob_nb
mimir-7b-translated	85.17	0	prompt_0	tatoeba_eng_nob_nb
mimir-7b-translated	79.695	0	prompt_3	tatoeba_eng_nob_nb
mimir-7b-translated	80.025	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-base	83.118	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-base	67.146	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-base	82.076	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-base	69.625	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch	88.337	0	prompt_0	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch	81.111	0	prompt_3	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch	77.706	0	prompt_2	tatoeba_eng_nob_nb
mimir-mistral-7b-extended-scratch	79.214	0	prompt_1	tatoeba_eng_nob_nb
mimir-mistral-7b-base-scratch	78.398	0	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-base-scratch	73.732	0	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-base-scratch	68.619	0	prompt_3	tatoeba_nob_eng_nb
mimir-mistral-7b-base-scratch	86.206	0	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-extended	84.584	0	prompt_0	tatoeba_nob_eng_nb
mimir-mistral-7b-extended	81.703	0	prompt_1	tatoeba_nob_eng_nb
mimir-mistral-7b-extended	77.012	0	prompt_2	tatoeba_nob_eng_nb
mimir-mistral-7b-extended	71.634	0	prompt_3	tatoeba_nob_eng_nb
mimir-7b-fiction	79.822	0	prompt_0	tatoeba_nob_eng_nb
mimir-7b-fiction	79.94	0	prompt_1	tatoeba_nob_eng_nb
mimir-7b-fiction	78.547	0	prompt_2	tatoeba_nob_eng_nb
mimir-7b-fiction	68.239	0	prompt_3	tatoeba_nob_eng_nb
mimir-7b-nonfiction	81.058	0	prompt_0	tatoeba_nob_eng_nb
mimir-7b-nonfiction	64.843	0	prompt_3	tatoeba_nob_eng_nb
mimir-7b-nonfiction	79.879	0	prompt_1	tatoeba_nob_eng_nb
mimir-7b-nonfiction	78.048	0	prompt_2	tatoeba_nob_eng_nb
mimir-7b-factual	79.499	0	prompt_1	tatoeba_nob_eng_nb
mimir-7b-factual	65.643	0	prompt_3	tatoeba_nob_eng_nb
