	Sentiment Analysis	Sentiment Analysis	Fairness & Truthfulness	Fairness & Truthfulness	Fairness & Truthfulness	Fairness & Truthfulness	Reading Comprehension	Reading Comprehension	World Knowledge	World Knowledge	World Knowledge	World Knowledge	World Knowledge	World Knowledge	Commonsense Reasoning	Commonsense Reasoning	Norwegian Syntax	Norwegian Syntax	Norwegian Syntax	Norwegian Syntax	Summarization	Summarization	Translation	Translation	Translation	Translation	Translation	Translation	Linguistic Analysis	Linguistic Analysis	Linguistic Analysis
	norec_sentence_nb	norec_document_nb	mimir_bias	nortruthfulqa_mc_nb	nortruthfulqa_mc_nn	nortruthfulqa_gen_nb	norbelebele_nb	norquad_nb	nrk_nb	nrk_nn	noropenbookqa_nb	noropenbookqa_nn	noropenbookqa_nb_use_fact	noropenbookqa_nn_use_fact	norcommonsenseqa_nb	norcommonsenseqa_nn	ncb	ask_gec_nb	noridiom_nb	noridiom_nn	norsumm_nb	norsumm_nn	tatoeba_eng_nno_nn	tatoeba_nno_eng_nn	tatoeba_eng_nob_nb	tatoeba_nob_eng_nb	tatoeba_nob_nno_nb	tatoeba_nno_nob_nn	inverse_compression	min_max_lix	normalized_inverse_sb
Model																															
extended	82.09020651472318	65.39552330155777	66.34343434343435	52.63157894736842	50.877192982456144	25.18179798884765	30.555555555555557	48.19933512635569	48.97222222222222	59.924812030075195	34.883720930232556	31.11111111111111	45.83333333333333	32.22222222222222	43.57864357864358	38.94736842105263	79.52380952380952	37.07	36.784220234615404	32.58523479845179	47.39028409090108	34.610031714834456	44.59017135256423	55.428262816701576	56.6674141660918	56.392314280992885	11.658695997938201	12.501189890937518	40.48255202	65.047945	70.0733
base	65.60100388923976	67.02631265221315	63.95959595959596	58.3732057416268	54.385964912280706	23.122931425543374	28.77777777777778	47.29986465530602	45.80555555555556	54.285714285714285	33.33333333333333	31.11111111111111	42.5	34.44444444444444	42.857142857142854	36.84210526315789	77.26190476190476	34.25	24.14682624954802	14.221165897489794	37.62468873329529	27.26693371990472	42.72914579668403	53.64248447499641	54.185678073581045	54.65533307857651	15.992701786134583	24.35970694139029	40.30957756	61.1093025	70.7573
base + books	74.7861078204622	70.28764721952405	64.0	59.33014354066985	56.14035087719298	27.01728396600223	27.666666666666668	39.10019836289608	44.52777777777778	53.00751879699248	32.81653746770026	30.0	42.77777777777778	34.44444444444444	44.44444444444444	34.73684210526316	83.80952380952381	35.52	57.44519645639047	27.679680595186007	31.870235983141455	27.74822468171824	42.13173690111893	53.69267659509792	55.26221913451511	54.746218102153435	12.757572191096468	8.479467488167105	39.60709759	67.60619	69.0641
base + newspapers	74.91327278612366	69.29337204922223	64.44444444444444	47.84688995215311	43.859649122807014	22.85697289826736	30.22222222222222	40.36415264300256	45.83333333333333	55.18796992481203	33.59173126614987	35.55555555555556	42.77777777777778	31.11111111111111	40.83694083694084	34.73684210526316	81.07142857142857	32.65	74.91077074812806	42.6376394456195	29.838178502347073	28.68737349258728	44.12674301463889	53.04637260516419	53.87533253013912	53.50967501026673	64.20310487534377	45.30722221597817	40.72158651	65.9388725	69.4485
base + books + newspapers	75.35377358490565	73.32491267426029	65.13131313131314	58.85167464114832	50.877192982456144	25.75345868368686	27.77777777777778	42.40552106916017	44.916666666666664	54.51127819548872	33.33333333333333	30.0	41.388888888888886	33.33333333333333	44.58874458874459	38.94736842105263	84.04761904761905	35.19	59.057058198849255	28.47849642737429	36.12788104867892	27.597570672802693	42.716894076388364	53.644497988188405	55.304716226557936	54.67217710223782	16.639855091572684	11.79929769175992	40.45143805	67.054955	69.4711
base + fiction books	73.07337028239641	68.97108378290618	64.8080808080808	45.45454545454545	43.859649122807014	25.48609885843061	27.666666666666668	39.76049981943105	42.97222222222222	49.473684210526315	31.52454780361757	33.33333333333333	43.333333333333336	34.44444444444444	44.877344877344875	37.89473684210527	83.92857142857143	31.94	26.930503973963248	19.52636466755581	30.855551623822908	25.970056081971585	41.76702610762946	52.68217243767161	53.79476096156258	52.821867484604496	9.186172967049146	8.92516972562235	40.13324236	78.8248075	66.9688
base + nonfiction books	76.78601724991603	66.8059049249438	64.32323232323233	60.76555023923444	63.1578947368421	24.3874663149277	28.999999999999996	34.218931917178125	43.833333333333336	53.609022556390975	32.81653746770026	30.0	44.44444444444444	31.11111111111111	43.43434343434344	37.89473684210527	84.16666666666667	35.620000000000005	57.685312890536736	31.497707058804362	32.633378926969336	26.41071940339425	43.0168918759409	53.771744243816755	55.07156565376415	54.32550056162396	12.033894741976345	9.789932580341066	39.58514765	62.928665	70.3146
base + nonfiction books + newspapers	79.45157197236712	71.49335429614243	63.35353535353535	56.45933014354066	56.14035087719298	24.11475281891977	28.999999999999996	44.319325967852144	45.0	55.18796992481203	32.81653746770026	31.11111111111111	42.5	34.44444444444444	44.300144300144304	41.05263157894737	82.14285714285714	35.199999999999996	64.04641033372374	35.258884922226585	32.81386537833686	28.750629659336013	42.87009196244971	53.50285393759322	54.982986865156064	54.50095971467562	14.401647168353257	17.05624131537576	40.35186829	66.425485	69.6265
base + original books	76.41790182311982	67.04471209884218	62.101010101010104	61.72248803827751	54.385964912280706	25.115272348887487	28.22222222222222	37.514894038277866	44.97222222222222	54.58646616541354	32.299741602067186	33.33333333333333	42.5	34.44444444444444	45.310245310245314	36.84210526315789	84.88095238095238	35.3	59.14803411072064	31.556055674802973	31.549131122799338	25.923146781215404	42.59889211091038	53.85397379065931	54.90010099502806	54.58264214705169	13.039855970166995	8.766193371316191	39.62593121	65.38095	70.1595
base + original books + newspapers	75.49390500210171	72.28665570429096	63.95959595959596	55.980861244019145	57.89473684210527	25.67005905875094	28.000000000000004	42.83823703154323	44.333333333333336	55.037593984962406	33.59173126614987	31.11111111111111	41.66666666666667	33.33333333333333	45.02164502164502	37.89473684210527	83.80952380952381	35.24	61.87400099494037	32.83475114522497	34.34063136754036	26.99904068092186	43.03851374936716	53.398337762388145	54.96241582175325	54.399650563108814	16.442273410155554	16.526474321352442	40.24144869	66.3740975	69.4104
base + translated books	68.52975993181497	66.34289327628171	62.94949494949494	43.54066985645933	43.859649122807014	26.026113725009107	26.555555555555554	42.525079343161124	44.0	50.150375939849624	34.883720930232556	31.11111111111111	45.0	34.44444444444444	45.5988455988456	41.05263157894737	83.80952380952381	31.9	34.71295219429557	20.662091644928704	29.89545046166918	25.126220010218177	40.877344795953405	52.22394452645731	54.31171966066256	52.85816680038979	8.456110032812227	8.717034846031398	40.04485023	71.17736	67.7389
extended (warm)	81.49881164587048	86.00358836405519	55.5959595959596	46.889952153110045	57.89473684210527	23.840522584525367	35.66666666666667	69.91760884196772	56.388888888888886	66.54135338345864	40.56847545219638	31.11111111111111	58.88888888888889	46.666666666666664	53.246753246753244	45.26315789473684	54.88095238095239	48.3	46.34132037117111	42.10489793810903	42.48522146082886	29.800875092780473	45.84048384305948	59.30093631558713	59.25473738946668	59.85747885992777	17.738827969486213	10.485850871827024	40.85634908	64.4363575	71.2644
base (warm)	88.90384886507825	87.44073090310673	71.03030303030303	57.89473684210527	50.877192982456144	25.970479040503616	37.22222222222222	67.73664099076048	55.94444444444444	64.9624060150376	45.99483204134367	36.666666666666664	63.33333333333333	47.77777777777778	47.61904761904761	48.421052631578945	80.95238095238095	47.74	36.22975254998971	30.79095805991804	39.77840823671633	31.982915953830535	46.03746457475495	58.80797151044888	58.67504887707213	59.24064596790058	9.725272791070992	10.955282797121141	40.68348251	62.1456275	71.7819
